model,ablation_setting,num_features,normal_accuracy,normal_f1,normal_recall,normal_fpr,adversarial_accuracy,adversarial_f1,adversarial_recall,adversarial_fpr,adversarial_misses
XGBOOST,All Features,65,0.9865,0.9553719008264463,0.9633333333333334,0.009411764705882352,0.944,0.7846153846153846,0.68,0.009411764705882352,96
XGBOOST,Without device_change,64,0.987,0.9572368421052632,0.97,0.01,0.9445,0.7861271676300579,0.68,0.008823529411764706,96
XGBOOST,Without Top-3 Risk Signals,62,0.98,0.9342105263157895,0.9466666666666667,0.01411764705882353,0.938,0.7606177606177607,0.6566666666666666,0.012352941176470587,103
RANDOM_FOREST,All Features,65,0.985,0.9501661129568106,0.9533333333333334,0.009411764705882352,0.9555,0.8366972477064221,0.76,0.01,72
RANDOM_FOREST,Without device_change,64,0.984,0.946843853820598,0.95,0.01,0.9525,0.822429906542056,0.7333333333333333,0.008823529411764706,80
RANDOM_FOREST,Without Top-3 Risk Signals,62,0.9745,0.9170731707317074,0.94,0.019411764705882354,0.9465,0.8022181146025879,0.7233333333333334,0.01411764705882353,83
