Optimizer,Training Accuracy,Validation Accuracy,Test Accuracy,Training Loss,Validation Loss,Test Loss,Epochs
SGD,0.9872327446937561,0.784636914730072,0.7868993878364563,0.036396574229002,1.788894772529602,1.7412395477294922,200
SGD + Momentum,0.9812300801277161,0.7822667360305786,0.7776341438293457,0.05595376342535019,1.8811630010604858,2.0084121227264404,200
RMSprop,0.8209585547447205,0.7293686866760254,0.726675271987915,0.7480508685112,4.178342819213867,5.435612201690674,200
Adam,0.986447811126709,0.7879767417907715,0.7850678563117981,0.043274980038404465,2.651822328567505,2.6712567806243896,200
AdamW,0.9793369174003601,0.7815126180648804,0.7895927429199219,0.06003333255648613,1.7364710569381714,1.7168574333190918,200
